Program start: 1707270566.467553
1707270571.032100 1707270571.031799 89 
1707270571.135247 1707270571.1350248 90 
1707270571.283591 1707270571.2832818 90 
1707270571.457267 1707270571.456722 89 
1707270571.909563 1707270571.9091 87 
1707270571.914372 1707270571.914173 89 
1707270572.086518 1707270572.086036 89 
1707270572.232356 1707270572.232054 89 
1707270572.598866 1707270572.5986931 90 
1707270573.495278 1707270573.494787 89 
1707270573.780314 1707270573.780107 89 
1707270573.827936 1707270573.827748 89 
1707270573.860149 1707270573.859987 89 
1707270573.949449 1707270573.948976 89 
1707270573.989877 1707270573.989311 89 
1707270574.360874 1707270574.360557 89 
1707270574.597539 1707270574.597074 89 
1707270574.623093 1707270574.622658 89 
1707270574.650860 1707270574.650409 89 
1707270574.741653 1707270574.741317 89 
1707270574.785143 1707270574.784726 89 
1707270574.812695 1707270574.812192 89 
1707270575.040562 1707270575.040017 89 
1707270575.256284 1707270575.255986 89 
1707270575.411483 1707270575.411019 89 
1707270575.492717 1707270575.492434 89 
1707270575.584937 1707270575.584502 89 
1707270575.730404 1707270575.729915 89 
1707270575.738307 1707270575.738039 89 
1707270576.034565 1707270576.034355 89 
1707270576.057799 1707270576.057628 89 
1707270576.087295 1707270576.0871491 90 
1707270576.097954 1707270576.0977821 90 
1707270576.318740 1707270576.318348 89 
1707270576.388386 1707270576.387996 89 
1707270576.495103 1707270576.494852 89 
1707270576.530243 1707270576.530011 89 
1707270576.775745 1707270576.775421 89 
1707270577.109724 1707270577.1092942 90 
1707270577.139735 1707270577.1392798 90 
1707270577.157109 1707270577.156408 89 
1707270577.422597 1707270577.422057 89 
1707270577.557792 1707270577.557485 89 
1707270577.587483 1707270577.587187 89 
1707270577.611866 1707270577.611653 89 
1707270577.642455 1707270577.642221 89 
1707270577.737754 1707270577.7372851 90 
1707270577.780173 1707270577.779813 89 
1707270577.796515 1707270577.795528 89 
1707270577.896928 1707270577.8965409 90 
1707270577.906372 1707270577.905994 89 
1707270577.914129 1707270577.9137542 90 
1707270577.931418 1707270577.931086 89 
1707270577.965315 1707270577.965003 89 
